Match Venue,Player Runs,4s,6s,Opponent,date,Decision,,,
,,,,,,,,,
bristol,28,5,,england,28 -8 2006,win,,,
Wanderers,7,0,0,South Africa,2/2/2007,loss,,,
GymKhana Club Ground,32,0,6,Bangladesh,2/9/2007,win,,,
Kingsmead,22,1,2,scotland,12/9/2007,win,,,
Kingsmead,7,0,0,india,14-09-07,loss,,,
Wanderers,17,2,0,Sirilanka,17-9-2007,win,,,
Newlands,39,5,2,Bangladesh,20-9-2007,win,,,
Newlands,6,1,0,NewZealand,22-9-2007,win,,,
Wanderers,0,0,0,India,24-9-2007,win,,,
National Stadium Karachi,10,1,0,Bangladesh,20-4-2008,win,,,
Maple Leaf North-West Ground,16,0,1,Canada,10/10/2008,win,,,
Maple Leaf North-West Ground,1,0,0,Sirilanka,11/10/2008,win,,,
maple Leaf North-West Ground,5,1,0,Zimbabwe,12/10/2008,win,,,
Maple Leaf North-West Ground,14,1,0,Sirilanka,13-01-08,loss,,,
Kennington,5,0,0,england,7-Jun-09,loss,,,
Lords,13,0,1,Netherlands,9-Jun-09,win,,,
Lords,0,0,0,Sirilanka,12-Jun,loss,,,
Kennington,29,3,0,NewZealand,13-Jun-09,win,,,
Kennington,24,3,0,ireland,15-Jun-09,win,,,
trent bridge,51,8,0,South Africa,18-Jun,win,,,
Lords,54,2,2,Sirilanka,21-Jun-09,win,,,
R premadasa,50,4,0,Sirilanka,12-Aug-09,win,,,
Dubai International,24,2,1,NewZealand,12-Nov-09,win,,,
Dubai International,22,1,1,NewZealand,13-Nov-09,win,,,
Dubai International,8,1,0,england,20-Feb-10,win,,,
Daren Sammy National stadium,9,0,0,Bangladesh,1-May-10,win,,,
Daren Sammy National stadium,33,3,1,australia,2-May-10,loss,,,
Kennington,0,0,0,england,6-May-10,loss,,,
Kennington,11,1,0,NewZealand,8-May-10,loss,,,
Daren Sammy National stadium,30,4,1,South Africa,10-May-10,win,,,
Daren Sammy National stadium,8,0,0,australia,14-May-10,loss,,,
Edgbaston,0,0,0,australia,5-Jul-10,win,,,
Edgbaston,18,2,1,australia,6-Jul-10,win,,,
Sophia Gardens,16,1,0,england,5-Sep-10,loss,,,
Sophia Gardens,2,0,0,england,7-Sep-10,loss,,,
Sheikh Zayed Stadium,25,1,3,South Africa,26-Oct-10,loss,,,
Sheikh Zayed Stadium,3,0,0,South Africa,27-Oct-10,loss,,,
Eden Park,20,1,2,NewZealand,26-Dec-10,loss,,,
seddon Park,7,0,1,NewZealand,28-Dec-10,loss,,,
AMI Stadiun,14,1,1,NewZealand,30-Dec-10,win,,,
Daren Sammy National stadium,12,1,0,westIndies,21-Apr-11,loss,,,
Sheikh Zayed Stadium,22,0,2,Sirilanka,25-Nov-11,win,,,
Shere Bangla,8,0,1,Bangladesh,29-Nov-11,win,,,
Dubai International,7,1,0,england,23-Feb-12,loss,,,
Dubai International,25,2,1,england,25-Feb-12,loss,,,
Sheikh Zayed Stadium,3,0,0,england,27-Feb-12,win,,,
mahinda  rajapaksha,1,0,0,Sirilanka,1-Jun-12,loss,,,
mahinda  rajapaksha,52,5,1,Sirilanka,3-Jun-12,win,,,
Pallekele International,12,2,0,NewZealand,23-Sep-12,win,,,
R premadasa,0,0,0,South Africa,28-Sep-12,win,,,
R premadasa,14,2,0,india,30-Sep-12,loss,,,
R premadasa,4,1,0,australia,2-Oct-12,win,,,
R premadasa,0,0,0,Sirilanka,4-Oct-12,loss,,,
